"15500
PLN",Seat Ibiza IV,Do negocjacji,2011,134 000 km,,Diesel
"6900
PLN",Mitsubishi Pajero II,,1997,220 000 km,2 972 cm3,Benzyna
"23900
PLN",BMW Seria 1 E81/E82/E87/E88,Do negocjacji,2009,174 000 km,1 995 cm3,Benzyna
"78000
PLN",Mazda 3 III,,2016,32 800 km,1 998 cm3,Benzyna
"73700
PLN",Škoda Superb III,Faktura VAT,2017,121 000 km,2 000 cm3,Diesel
"37500
PLN",Hyundai ix35,"Do negocjacji, Faktura VAT",2010,147 000 km,1 600 cm3,Benzyna
"190000
PLN",BMW Seria 5 G30/G31,Faktura VAT,2017,47 000 km,2 000 cm3,Diesel
"83900
PLN",Volkswagen Passat B8,"Do negocjacji, Faktura VAT",2015,92 700 km,1 968 cm3,Diesel
"200000
PLN",BMW Seria 5 G30/G31,Faktura VAT,2017,33 000 km,2 000 cm3,Diesel
"31900
PLN",Ford Focus Mk3,"Do negocjacji, Faktura VAT",2014,113 000 km,1 600 cm3,Benzyna
"49000
PLN",Peugeot 508,Faktura VAT,2016,164 493 km,2 000 cm3,Diesel
"29500
PLN",Toyota Avensis II,Do negocjacji,2009,152 084 km,1 800 cm3,Benzyna
"146899
PLN",Mercedes-Benz GLC,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2019,248 km,2 000 cm3,Diesel
"7900
PLN",Suzuki Swift IV,,2007,105 000 km,1 328 cm3,Benzyna
"16900
PLN",Ford Fiesta Mk7,Do negocjacji,2015,231 000 km,1 560 cm3,Diesel
"17900
PLN",Renault Laguna III,Do negocjacji,2007,140 000 km,1 995 cm3,Diesel
"67900
PLN",Volkswagen Golf VII,Do negocjacji,2014,115 000 km,1 400 cm3,Hybryda
"36000
PLN",Volkswagen Passat B7,Do negocjacji,2011,260 000 km,2 000 cm3,Diesel
"74413
PLN",Nissan Qashqai II,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2018,19 500 km,1 200 cm3,Benzyna
"12500
PLN",Renault Megane II,Do negocjacji,2004,177 500 km,2 000 cm3,Benzyna
"7750
PLN",Mercedes-Benz Klasa C W203,Do negocjacji,2001,281 800 km,1 998 cm3,Benzyna
"40500
PLN",Opel Insignia A,Do negocjacji,2015,187 000 km,2 000 cm3,Diesel
"21000
PLN",Nissan Micra K13,Do negocjacji,2012,94 400 km,1 198 cm3,Benzyna
"39800
PLN",Toyota Avensis III,Do negocjacji,2010,129 196 km,1 800 cm3,Benzyna
"36900
PLN",Seat Leon III,"Do negocjacji, Faktura VAT",2015,133 000 km,1 598 cm3,Diesel
"11800
PLN",Polonez 1.5,Do negocjacji,1981,109 000 km,1 500 cm3,Benzyna
"61900
PLN",Renault Scenic IV,Do negocjacji,2018,39 368 km,1 300 cm3,Benzyna
"33900
PLN",Seat Toledo IV,"Do negocjacji, Faktura VAT",2016,90 000 km,1 197 cm3,Benzyna
"14900
PLN",Peugeot 207 CC,Do negocjacji,2007,65 000 km,1 560 cm3,Diesel
"79900
PLN",BMW i3,,2019,3 000 km,,Elektryczny
"207000
PLN",Audi A8 D4,"Do negocjacji, Faktura VAT",2016,124 000 km,4 134 cm3,Diesel
"13800
PLN",Opel Zafira B,,2006,215 000 km,1 600 cm3,Benzyna
"28500
PLN",Toyota Aygo II,Do negocjacji,2016,39 356 km,998 cm3,Benzyna
"51900
PLN",Kia Sportage III,Do negocjacji,2011,149 000 km,1 995 cm3,Diesel
"26500
PLN",Seat Toledo IV,"Do negocjacji, Faktura VAT",2016,82 000 km,1 200 cm3,Benzyna+LPG
"50307
PLN",Renault Talisman,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2016,44 955 km,1 500 cm3,Diesel
"195000
PLN",Mercedes-Benz Klasa E W213,Do negocjacji,2017,27 300 km,1 991 cm3,Benzyna
"12500
PLN",Opel Astra H,Do negocjacji,2005,187 800 km,1 796 cm3,Benzyna
"49900
PLN",Lexus CT,Faktura VAT,2011,164 570 km,1 798 cm3,Hybryda
"20600
PLN",Audi A4 B7,Do negocjacji,2007,267 000 km,2 000 cm3,Diesel
"53500
PLN",Renault Megane IV,Do negocjacji,2019,9 270 km,1 300 cm3,Benzyna
"59499
PLN",Opel Astra K,"Do negocjacji, Faktura VAT",2018,48 586 km,1 598 cm3,Diesel
"13900
PLN",Peugeot 207,Do negocjacji,2008,159 240 km,1 400 cm3,Benzyna+LPG
"60900
PLN",Suzuki Vitara II,,2019,15 245 km,1 000 cm3,Benzyna
